County,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Average
Statewide,"13,447","13,184","12,818","11,899","11,312","11,078","10,264","8,095","7,766","8,888","10,875.1"
ALAMEDA,683,648,665,635,583,570,496,401,388,493,556.2
ALPINE,2,0,2,0,2,1,1,2,3,0,1.3
AMADOR,5,1,4,3,4,6,2,5,3,2,3.5
BUTTE,90,83,81,83,64,80,44,43,43,53,66.4
CALAVERAS,3,2,2,2,1,2,2,3,2,4,2.3
COLUSA,1,0,2,1,2,2,3,3,0,0,1.4
"CONTRA COSTA",251,219,275,219,192,194,210,145,158,176,203.9
"DEL NORTE",6,5,4,4,4,5,9,6,5,4,5.2
"EL DORADO",28,17,24,21,17,18,17,23,14,18,19.7
FRESNO,85,144,166,67,74,67,72,90,91,141,99.7
GLENN,1,4,2,1,2,4,1,2,2,3,2.2
HUMBOLDT,53,48,44,46,47,32,36,27,21,46,40.0
IMPERIAL,26,20,23,20,17,19,25,15,9,14,18.8
INYO,8,6,6,7,3,2,4,3,5,5,4.9
KERN,153,156,149,164,165,121,148,105,103,117,138.1
KINGS,34,27,30,23,19,21,23,20,12,17,22.6
LAKE,16,6,12,5,6,7,4,6,5,9,7.6
LASSEN,5,5,1,2,0,1,0,0,0,1,1.5
"LOS ANGELES","4,691","4,416","4,178","3,793","3,645","3,563","3,389","2,533","1,820","1,991","3,401.9"
MADERA,24,21,21,25,19,19,23,13,12,17,19.4
MARIN,157,139,142,149,156,137,114,133,111,157,139.5
MARIPOSA,1,0,5,1,1,2,0,0,0,2,1.2
MENDOCINO,17,16,19,13,18,15,5,6,8,14,13.1
MERCED,65,88,58,78,75,83,63,54,56,58,67.8
MODOC,0,1,0,0,1,0,2,0,0,0,0.4
MONO,4,5,3,2,2,5,4,1,0,2,2.8
MONTEREY,132,89,102,103,90,102,75,79,74,82,92.8
NAPA,52,54,58,41,41,49,43,33,32,35,43.8
NEVADA,9,12,18,19,9,8,8,8,24,7,12.2
ORANGE,"1,333","1,200","1,041","1,006",999,829,731,604,846,989,957.8
PLACER,44,56,34,31,46,57,64,41,68,76,51.7
PLUMAS,4,2,4,3,4,6,6,2,2,4,3.7
RIVERSIDE,368,402,381,381,385,362,329,258,288,312,346.6
SACRAMENTO,602,579,614,573,559,544,501,352,370,476,517.0
"SAN BENITO",12,11,12,13,13,10,9,5,8,10,10.3
"SAN BERNARDINO",427,417,354,326,305,309,250,220,227,310,314.5
"SAN DIEGO",966,"1,059",962,883,780,809,707,668,743,790,836.7
"SAN FRANCISCO",445,645,565,564,548,568,551,388,394,375,504.3
"SAN JOAQUIN",83,71,204,211,183,192,198,121,131,149,154.3
"SAN LUIS OBISPO",124,122,106,107,86,101,80,75,86,75,96.2
"SAN MATEO",278,248,237,205,263,242,236,202,208,219,233.8
"SANTA BARBARA",253,259,237,226,218,215,184,178,172,206,214.8
"SANTA CLARA",728,758,862,687,587,694,645,451,455,518,638.5
"SANTA CRUZ",199,198,193,176,166,120,134,104,115,163,156.8
SHASTA,53,58,41,42,34,33,29,24,22,30,36.6
SIERRA,1,1,0,1,1,0,2,1,0,0,0.7
SISKIYOU,8,7,2,3,5,7,5,4,0,2,4.3
SOLANO,75,96,73,83,81,71,57,63,74,81,75.4
SONOMA,165,154,175,143,153,140,157,102,74,87,135.0
STANISLAUS,181,177,159,154,177,165,140,111,129,129,152.2
SUTTER,24,32,35,32,17,19,15,14,17,19,22.4
TEHAMA,11,12,14,8,4,7,13,10,10,5,9.4
TRINITY,3,0,3,0,1,1,3,0,0,0,1.1
TULARE,97,76,101,98,75,64,78,57,45,59,75.0
TUOLUMNE,2,3,9,2,4,7,10,4,2,5,4.8
VENTURA,249,202,180,278,262,235,191,220,212,238,226.7
YOLO,92,86,99,115,77,122,107,50,58,72,87.8
YUBA,18,21,25,21,20,14,9,7,9,21,16.5
