X,Y,OBJECTID,COUNTY,AIRPORT,FREQUENCY,PHONE,LATITUDE,LONGITUDE,FAA_ID,LATARC,LONGARC,AWOSTYPE
-122.122400000691,37.6592999994755,1,ALAMEDA,HAYWARD ,126.700 (ATIS/ASOS),510 -786-3988 (ATIS)     510-786-3052 (ASOS),37.659265,-122.122408,HWD,37.659,-122.122,ATIS/ASOS
-121.820399999619,37.6933999992907,2,ALAMEDA,LIVERMORE,119.650 (ATIS/ASOS),925-447-9516 (ATIS)      925-606-5412 (ASOS),37.693399,-121.820352,LVK,37.693,-121.82,ATIS/ASOS
-122.220699999481,37.7212999984622,3,ALAMEDA,OAKLAND ,133.775 (ATIS/ASOS),510-635-5850 (ATIS)      510-383-9514 (ASOS),37.721291,-122.220717,OAK,37.721,-122.221,ATIS/ASOS
-120.793900001794,38.3768000006676,4,AMADOR,JACKSON,121.125 (AWOS III),209-257-1292 (AWOS III),38.376801,-120.793908,JAQ,38.3768,-120.7939,AWOS III
-121.858399998397,39.7954000011086,5,BUTTE,CHICO MUNI,119.675 (AWOS III),530-879-3850 (AWOS III),39.795383,-121.858423,CIC,39.7954,-121.8584,AWOS III
-121.622000001371,39.4877999983728,6,BUTTE,OROVILLE,121.425 (ASOS),530-533-5792 (ASOS),39.48775,-121.622,OVE,39.488,-121.425,ASOS
-120.648200001568,38.146099999547,7,CALAVERAS,SAN ANDREAS,118.525 (AWOS III-P),209-736-2523 (AWOS III-P),38.146116,-120.648173,CPU,38.1461,-120.6482,AWOS III-P
-122.056899998337,37.9897000007331,8,CONTRA COSTA,CONCORD,124.7 (ATIS/ASOS),925-685-4567 (ATIS)     925-689-2077 (ASOS),37.989656,-122.056897,CCR,37.99,-122.057,ATIS/ASOS
-121.637200001627,37.8359999991953,9,CONTRA COSTA,BYRON,123.775 (AWOS III),925-634-0906 (AWOS III),37.836037,-121.637173,C83,37.8284,-121.6258,AWOS III
-124.236499998719,41.7802000008523,10,DEL NORTE,CRESCENT CITY ,119.925 (ASOS),707-465-5458 (ASOS),41.780157,-124.236533,CEC,41.78,-124.237,ASOS
