County,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Average
Statewide,"1,561","1,736","1,867","2,066","2,059","2,134","2,257","1,690","1,679","1,842","1,889.1"
ALAMEDA,84,98,119,130,122,120,131,87,86,120,109.7
ALPINE,0,0,0,0,0,0,0,0,0,0,0.0
AMADOR,1,1,2,0,2,0,0,0,1,1,0.8
BUTTE,7,6,11,10,6,6,9,5,7,12,7.9
CALAVERAS,0,0,0,0,3,1,2,1,1,2,1.0
COLUSA,0,0,2,0,1,0,0,2,0,1,0.6
"CONTRA COSTA",30,31,38,40,45,50,50,26,44,41,39.5
"DEL NORTE",1,0,1,0,2,0,0,0,0,1,0.5
"EL DORADO",1,2,2,1,0,2,1,4,2,4,1.9
FRESNO,12,21,28,16,14,18,20,26,26,24,20.5
GLENN,0,1,1,0,0,0,0,2,1,0,0.5
HUMBOLDT,7,7,9,5,12,8,4,8,4,8,7.2
IMPERIAL,2,4,7,1,4,7,4,7,3,6,4.5
INYO,0,0,0,0,2,0,0,0,0,0,0.2
KERN,15,19,20,24,12,26,25,17,30,23,21.1
KINGS,6,2,5,0,5,1,1,4,3,5,3.2
LAKE,0,2,0,3,2,3,2,4,3,6,2.5
LASSEN,2,0,1,0,0,0,0,0,0,0,0.3
"LOS ANGELES",607,643,759,791,827,855,888,661,574,566,717.1
MADERA,4,3,3,3,6,4,3,1,3,4,3.4
MARIN,12,11,18,15,18,21,25,10,16,16,16.2
MARIPOSA,0,0,0,1,0,1,1,0,0,0,0.3
MENDOCINO,2,2,3,3,7,5,3,1,1,3,3.0
MERCED,4,11,8,11,11,13,16,7,16,10,10.7
MODOC,0,1,0,0,0,0,0,0,0,0,0.1
MONO,0,0,0,0,0,0,4,0,0,0,0.4
MONTEREY,10,15,12,18,21,24,15,14,21,20,17.0
NAPA,9,9,2,9,9,4,5,5,6,6,6.4
NEVADA,2,1,0,5,2,1,3,2,2,0,1.8
ORANGE,108,110,101,121,103,105,110,87,113,136,109.4
PLACER,3,1,7,5,8,10,4,11,14,12,7.5
PLUMAS,1,0,1,0,0,2,1,0,1,0,0.6
RIVERSIDE,40,41,43,48,69,44,68,58,49,72,53.2
SACRAMENTO,48,48,55,58,49,67,69,66,57,77,59.4
"SAN BENITO",1,2,1,4,0,3,1,0,1,4,1.7
"SAN BERNARDINO",37,43,54,49,40,59,80,59,61,70,55.2
"SAN DIEGO",142,165,123,172,146,164,170,149,150,143,152.4
"SAN FRANCISCO",93,131,129,152,141,141,165,87,94,126,125.9
"SAN JOAQUIN",10,10,32,23,35,30,36,27,26,29,25.8
"SAN LUIS OBISPO",10,9,10,14,9,14,11,2,8,11,9.8
"SAN MATEO",32,29,33,49,58,51,41,37,42,51,42.3
"SANTA BARBARA",20,15,29,19,22,21,16,16,13,19,19.0
"SANTA CLARA",90,101,88,92,89,103,118,78,58,73,89.0
"SANTA CRUZ",13,18,13,19,20,19,9,15,13,17,15.6
SHASTA,5,4,8,8,5,8,6,3,7,4,5.8
SIERRA,0,0,0,0,0,0,0,0,0,0,0.0
SISKIYOU,0,3,1,0,1,0,2,0,6,0,1.3
SOLANO,9,17,12,15,9,17,15,12,11,12,12.9
SONOMA,15,22,11,20,20,18,21,10,20,22,17.9
STANISLAUS,16,19,18,32,24,21,29,24,23,22,22.8
SUTTER,2,6,4,2,2,6,5,3,2,6,3.8
TEHAMA,2,4,0,4,3,3,1,1,3,3,2.4
TRINITY,0,0,0,0,0,1,0,0,2,1,0.4
TULARE,8,14,8,21,13,19,15,15,10,12,13.5
TUOLUMNE,1,3,6,1,2,1,2,1,2,2,2.1
VENTURA,33,24,25,42,43,28,40,26,35,28,32.4
YOLO,4,5,2,8,12,8,8,7,6,8,6.8
YUBA,0,2,2,2,3,1,2,2,2,3,1.9
