County,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Average
Statewide,"1,994","1,899","1,808","1,724","1,695","1,567","1,510",780,922,"1,085","1,498.4"
ALAMEDA,90,69,88,80,87,87,66,25,43,49,68.4
ALPINE,0,0,0,0,0,0,0,0,0,0,0.0
AMADOR,0,0,0,1,0,0,1,0,0,0,0.2
BUTTE,11,5,8,4,5,7,6,5,5,6,6.2
CALAVERAS,2,0,2,0,2,1,0,1,2,1,1.1
COLUSA,1,2,2,0,0,2,1,0,0,2,1.0
"CONTRA COSTA",46,35,38,36,43,41,33,28,14,18,33.2
"DEL NORTE",0,0,0,0,0,1,1,0,0,1,0.3
"EL DORADO",3,0,2,6,2,0,1,0,0,4,1.8
FRESNO,19,40,32,21,11,10,27,8,27,34,22.9
GLENN,0,0,1,1,0,0,1,0,0,1,0.4
HUMBOLDT,9,7,6,12,9,6,3,8,3,2,6.5
IMPERIAL,7,6,7,4,4,5,3,4,1,4,4.5
INYO,0,0,0,0,0,0,0,0,1,0,0.1
KERN,73,47,38,55,41,54,40,12,24,23,40.7
KINGS,13,13,3,3,9,7,7,5,2,5,6.7
LAKE,1,0,1,3,3,0,2,2,0,1,1.3
LASSEN,0,1,1,0,0,1,0,0,0,0,0.3
"LOS ANGELES",741,711,644,602,577,504,536,271,256,280,512.2
MADERA,5,6,5,8,4,9,7,4,5,2,5.5
MARIN,9,11,6,5,4,4,5,4,4,11,6.3
MARIPOSA,0,0,0,0,0,1,0,0,0,0,0.1
MENDOCINO,1,4,2,3,2,3,0,2,3,2,2.2
MERCED,10,12,15,20,20,17,11,3,9,15,13.2
MODOC,0,0,0,0,0,0,0,0,0,0,0.0
MONO,0,0,0,0,0,0,0,0,0,0,0.0
MONTEREY,24,25,17,19,39,34,19,9,20,21,22.7
NAPA,6,5,5,11,2,6,6,2,7,1,5.1
NEVADA,2,0,3,1,0,1,2,0,1,1,1.1
ORANGE,158,147,116,101,98,115,77,38,69,66,98.5
PLACER,3,4,4,3,4,4,7,7,3,8,4.7
PLUMAS,0,0,2,0,2,1,0,0,0,0,0.5
RIVERSIDE,54,69,68,88,72,56,66,30,45,58,60.6
SACRAMENTO,67,60,71,82,65,65,69,36,30,42,58.7
"SAN BENITO",4,4,3,1,1,5,0,2,1,2,2.3
"SAN BERNARDINO",84,107,102,72,84,73,86,35,48,61,75.2
"SAN DIEGO",180,157,159,157,134,99,111,67,80,103,124.7
"SAN FRANCISCO",37,50,56,40,54,39,40,21,23,23,38.3
"SAN JOAQUIN",16,22,46,23,26,25,29,16,22,33,25.8
"SAN LUIS OBISPO",10,5,8,7,6,7,11,3,7,4,6.8
"SAN MATEO",26,28,31,28,29,32,22,14,20,30,26.0
"SANTA BARBARA",38,17,27,28,30,26,26,7,14,13,22.6
"SANTA CLARA",72,68,70,51,53,60,60,35,32,42,54.3
"SANTA CRUZ",19,18,11,11,18,17,10,7,9,6,12.6
SHASTA,2,9,2,2,1,2,1,2,2,2,2.5
SIERRA,0,0,0,0,0,0,0,0,0,0,0.0
SISKIYOU,0,3,1,0,0,0,0,0,0,0,0.4
SOLANO,19,27,25,10,21,21,17,8,16,10,17.4
SONOMA,23,12,12,26,21,12,14,5,12,12,14.9
STANISLAUS,23,29,23,24,34,25,30,23,21,21,25.3
SUTTER,10,8,5,6,5,3,7,0,0,7,5.1
TEHAMA,4,2,1,1,0,1,0,0,1,2,1.2
TRINITY,0,0,0,0,0,0,0,0,0,1,0.1
TULARE,30,19,17,22,18,23,12,11,11,18,18.1
TUOLUMNE,0,2,1,2,1,2,1,1,0,0,1.0
VENTURA,33,24,17,37,45,39,28,14,23,31,29.1
YOLO,6,6,4,3,5,8,4,3,4,5,4.8
YUBA,3,3,0,4,4,6,4,2,2,1,2.9
